sample_name	unit_name	fastq1	fastq2	adapters3	adapters5
12A1	1	12A1_S65_R1_001.fastq.gz	12A1_S65_R2_001.fastq.gz		
12A2	1	12A2_S66_R1_001.fastq.gz	12A2_S66_R2_001.fastq.gz		
12A3	1	12A3_S67_R1_001.fastq.gz	12A3_S67_R2_001.fastq.gz		
12A4	1	12A4_S68_R1_001.fastq.gz	12A4_S68_R2_001.fastq.gz		
12A5	1	12A5_S69_R1_001.fastq.gz	12A5_S69_R2_001.fastq.gz		
12A6	1	12A6_S70_R1_001.fastq.gz	12A6_S70_R2_001.fastq.gz		
12A7	1	12A7_S71_R1_001.fastq.gz	12A7_S71_R2_001.fastq.gz		
12A8	1	12A8_S72_R1_001.fastq.gz	12A8_S72_R2_001.fastq.gz		
12B1	1	12B1_S73_R1_001.fastq.gz	12B1_S73_R2_001.fastq.gz		
12B2	1	12B2_S74_R1_001.fastq.gz	12B2_S74_R2_001.fastq.gz		
12B3	1	12B3_S75_R1_001.fastq.gz	12B3_S75_R2_001.fastq.gz		
12B4	1	12B4_S76_R1_001.fastq.gz	12B4_S76_R2_001.fastq.gz		
12B5	1	12B5_S77_R1_001.fastq.gz	12B5_S77_R2_001.fastq.gz		
12B6	1	12B6_S78_R1_001.fastq.gz	12B6_S78_R2_001.fastq.gz		
12B7	1	12B7_S79_R1_001.fastq.gz	12B7_S79_R2_001.fastq.gz		
12B8	1	12B8_S80_R1_001.fastq.gz	12B8_S80_R2_001.fastq.gz		
12C1	1	12C1_S81_R1_001.fastq.gz	12C1_S81_R2_001.fastq.gz		
12C2	1	12C2_S82_R1_001.fastq.gz	12C2_S82_R2_001.fastq.gz		
12C3	1	12C3_S83_R1_001.fastq.gz	12C3_S83_R2_001.fastq.gz		
12C4	1	12C4_S84_R1_001.fastq.gz	12C4_S84_R2_001.fastq.gz		
12C5	1	12C5_S85_R1_001.fastq.gz	12C5_S85_R2_001.fastq.gz		
12C6	1	12C6_S86_R1_001.fastq.gz	12C6_S86_R2_001.fastq.gz		
12C7	1	12C7_S87_R1_001.fastq.gz	12C7_S87_R2_001.fastq.gz		
12C8	1	12C8_S88_R1_001.fastq.gz	12C8_S88_R2_001.fastq.gz		
